match,team1,team2,season,date,series,match_number,venue,player_of_match,winner,over,team,runs,runs_total
356003 - Ireland vs New Zealand,Ireland,New Zealand,2009,2009-06-11,,13,Trent Bridge,AJ Redmond,New Zealand,10,Ireland,52,93
356003 - Ireland vs New Zealand,Ireland,New Zealand,2009,2009-06-11,,13,Trent Bridge,AJ Redmond,New Zealand,15,Ireland,45,138
356003 - Ireland vs New Zealand,Ireland,New Zealand,2009,2009-06-11,,13,Trent Bridge,AJ Redmond,New Zealand,20,Ireland,34,172
356004 - England vs South Africa,England,South Africa,2009,2009-06-11,,14,Trent Bridge,JH Kallis,South Africa,5,England,48,48
356004 - England vs South Africa,England,South Africa,2009,2009-06-11,,14,Trent Bridge,JH Kallis,South Africa,10,England,41,89
356004 - England vs South Africa,England,South Africa,2009,2009-06-11,,14,Trent Bridge,JH Kallis,South Africa,15,England,40,129
356004 - England vs South Africa,England,South Africa,2009,2009-06-11,,14,Trent Bridge,JH Kallis,South Africa,20,England,36,165
356004 - England vs South Africa,England,South Africa,2009,2009-06-11,,14,Trent Bridge,JH Kallis,South Africa,5,South Africa,20,20
356004 - England vs South Africa,England,South Africa,2009,2009-06-11,,14,Trent Bridge,JH Kallis,South Africa,10,South Africa,28,48
356004 - England vs South Africa,England,South Africa,2009,2009-06-11,,14,Trent Bridge,JH Kallis,South Africa,15,South Africa,15,63
356004 - England vs South Africa,England,South Africa,2009,2009-06-11,,14,Trent Bridge,JH Kallis,South Africa,20,South Africa,40,103
356005 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-12,,15,Lord's,TM Dilshan,Sri Lanka,5,Sri Lanka,33,33
356005 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-12,,15,Lord's,TM Dilshan,Sri Lanka,10,Sri Lanka,51,84
356005 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-12,,15,Lord's,TM Dilshan,Sri Lanka,15,Sri Lanka,43,127
356005 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-12,,15,Lord's,TM Dilshan,Sri Lanka,20,Sri Lanka,34,161
356005 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-12,,15,Lord's,TM Dilshan,Sri Lanka,5,Pakistan,43,43
356005 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-12,,15,Lord's,TM Dilshan,Sri Lanka,10,Pakistan,32,75
356005 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-12,,15,Lord's,TM Dilshan,Sri Lanka,15,Pakistan,28,103
356005 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-12,,15,Lord's,TM Dilshan,Sri Lanka,20,Pakistan,31,134
356006 - India vs West Indies,India,West Indies,2009,2009-06-12,,16,Lord's,DJ Bravo,West Indies,5,India,44,44
356006 - India vs West Indies,India,West Indies,2009,2009-06-12,,16,Lord's,DJ Bravo,West Indies,10,India,34,78
356006 - India vs West Indies,India,West Indies,2009,2009-06-12,,16,Lord's,DJ Bravo,West Indies,15,India,37,115
356006 - India vs West Indies,India,West Indies,2009,2009-06-12,,16,Lord's,DJ Bravo,West Indies,20,India,29,144
356006 - India vs West Indies,India,West Indies,2009,2009-06-12,,16,Lord's,DJ Bravo,West Indies,5,West Indies,53,53
356006 - India vs West Indies,India,West Indies,2009,2009-06-12,,16,Lord's,DJ Bravo,West Indies,10,West Indies,31,84
356006 - India vs West Indies,India,West Indies,2009,2009-06-12,,16,Lord's,DJ Bravo,West Indies,15,West Indies,28,112
356006 - India vs West Indies,India,West Indies,2009,2009-06-12,,16,Lord's,DJ Bravo,West Indies,20,West Indies,35,147
356007 - South Africa vs West Indies,South Africa,West Indies,2009,2009-06-13,,17,Kennington Oval,WD Parnell,South Africa,5,South Africa,56,56
356007 - South Africa vs West Indies,South Africa,West Indies,2009,2009-06-13,,17,Kennington Oval,WD Parnell,South Africa,10,South Africa,43,99
356007 - South Africa vs West Indies,South Africa,West Indies,2009,2009-06-13,,17,Kennington Oval,WD Parnell,South Africa,15,South Africa,40,139
356007 - South Africa vs West Indies,South Africa,West Indies,2009,2009-06-13,,17,Kennington Oval,WD Parnell,South Africa,20,South Africa,33,172
356007 - South Africa vs West Indies,South Africa,West Indies,2009,2009-06-13,,17,Kennington Oval,WD Parnell,South Africa,5,West Indies,45,45
356007 - South Africa vs West Indies,South Africa,West Indies,2009,2009-06-13,,17,Kennington Oval,WD Parnell,South Africa,10,West Indies,43,88
356007 - South Africa vs West Indies,South Africa,West Indies,2009,2009-06-13,,17,Kennington Oval,WD Parnell,South Africa,15,West Indies,76,164
356007 - South Africa vs West Indies,South Africa,West Indies,2009,2009-06-13,,17,Kennington Oval,WD Parnell,South Africa,20,West Indies,42,206
356009 - Ireland vs Sri Lanka,Ireland,Sri Lanka,2009,2009-06-14,,19,Lord's,DPMD Jayawardene,Sri Lanka,5,Sri Lanka,41,41
356009 - Ireland vs Sri Lanka,Ireland,Sri Lanka,2009,2009-06-14,,19,Lord's,DPMD Jayawardene,Sri Lanka,10,Sri Lanka,29,70
356009 - Ireland vs Sri Lanka,Ireland,Sri Lanka,2009,2009-06-14,,19,Lord's,DPMD Jayawardene,Sri Lanka,15,Sri Lanka,49,119
356009 - Ireland vs Sri Lanka,Ireland,Sri Lanka,2009,2009-06-14,,19,Lord's,DPMD Jayawardene,Sri Lanka,20,Sri Lanka,43,162
356009 - Ireland vs Sri Lanka,Ireland,Sri Lanka,2009,2009-06-14,,19,Lord's,DPMD Jayawardene,Sri Lanka,5,Ireland,34,34
356009 - Ireland vs Sri Lanka,Ireland,Sri Lanka,2009,2009-06-14,,19,Lord's,DPMD Jayawardene,Sri Lanka,10,Ireland,23,57
356009 - Ireland vs Sri Lanka,Ireland,Sri Lanka,2009,2009-06-14,,19,Lord's,DPMD Jayawardene,Sri Lanka,15,Ireland,10,67
356009 - Ireland vs Sri Lanka,Ireland,Sri Lanka,2009,2009-06-14,,19,Lord's,DPMD Jayawardene,Sri Lanka,20,Ireland,44,111
356010 - England vs India,England,India,2009,2009-06-14,,20,Lord's,RJ Sidebottom,England,5,England,21,21
356010 - England vs India,England,India,2009,2009-06-14,,20,Lord's,RJ Sidebottom,England,10,England,33,54
356010 - England vs India,England,India,2009,2009-06-14,,20,Lord's,RJ Sidebottom,England,15,England,32,86
356010 - England vs India,England,India,2009,2009-06-14,,20,Lord's,RJ Sidebottom,England,20,England,34,120
356010 - England vs India,England,India,2009,2009-06-14,,20,Lord's,RJ Sidebottom,England,5,India,24,24
356010 - England vs India,England,India,2009,2009-06-14,,20,Lord's,RJ Sidebottom,England,10,India,23,47
356010 - England vs India,England,India,2009,2009-06-14,,20,Lord's,RJ Sidebottom,England,15,India,37,84
356010 - England vs India,England,India,2009,2009-06-14,,20,Lord's,RJ Sidebottom,England,20,India,43,127
356012 - Ireland vs Pakistan,Ireland,Pakistan,2009,2009-06-15,,21,Kennington Oval,Kamran Akmal,Pakistan,5,Pakistan,44,44
356012 - Ireland vs Pakistan,Ireland,Pakistan,2009,2009-06-15,,21,Kennington Oval,Kamran Akmal,Pakistan,10,Pakistan,36,80
356012 - Ireland vs Pakistan,Ireland,Pakistan,2009,2009-06-15,,21,Kennington Oval,Kamran Akmal,Pakistan,15,Pakistan,36,116
356012 - Ireland vs Pakistan,Ireland,Pakistan,2009,2009-06-15,,21,Kennington Oval,Kamran Akmal,Pakistan,20,Pakistan,26,142
356012 - Ireland vs Pakistan,Ireland,Pakistan,2009,2009-06-15,,21,Kennington Oval,Kamran Akmal,Pakistan,5,Ireland,60,60
356012 - Ireland vs Pakistan,Ireland,Pakistan,2009,2009-06-15,,21,Kennington Oval,Kamran Akmal,Pakistan,10,Ireland,21,81
356012 - Ireland vs Pakistan,Ireland,Pakistan,2009,2009-06-15,,21,Kennington Oval,Kamran Akmal,Pakistan,15,Ireland,33,114
356012 - Ireland vs Pakistan,Ireland,Pakistan,2009,2009-06-15,,21,Kennington Oval,Kamran Akmal,Pakistan,20,Ireland,34,148
356013 - New Zealand vs Sri Lanka,New Zealand,Sri Lanka,2009,2009-06-16,,23,Trent Bridge,BAW Mendis,Sri Lanka,5,Sri Lanka,13,13
356013 - New Zealand vs Sri Lanka,New Zealand,Sri Lanka,2009,2009-06-16,,23,Trent Bridge,BAW Mendis,Sri Lanka,10,Sri Lanka,31,44
356013 - New Zealand vs Sri Lanka,New Zealand,Sri Lanka,2009,2009-06-16,,23,Trent Bridge,BAW Mendis,Sri Lanka,15,Sri Lanka,23,67
356013 - New Zealand vs Sri Lanka,New Zealand,Sri Lanka,2009,2009-06-16,,23,Trent Bridge,BAW Mendis,Sri Lanka,20,Sri Lanka,25,92
356013 - New Zealand vs Sri Lanka,New Zealand,Sri Lanka,2009,2009-06-16,,23,Trent Bridge,BAW Mendis,Sri Lanka,5,New Zealand,59,59
356013 - New Zealand vs Sri Lanka,New Zealand,Sri Lanka,2009,2009-06-16,,23,Trent Bridge,BAW Mendis,Sri Lanka,10,New Zealand,30,89
356013 - New Zealand vs Sri Lanka,New Zealand,Sri Lanka,2009,2009-06-16,,23,Trent Bridge,BAW Mendis,Sri Lanka,15,New Zealand,35,124
356013 - New Zealand vs Sri Lanka,New Zealand,Sri Lanka,2009,2009-06-16,,23,Trent Bridge,BAW Mendis,Sri Lanka,20,New Zealand,38,162
356014 - India vs South Africa,India,South Africa,2009,2009-06-16,,24,Trent Bridge,AB de Villiers,South Africa,5,South Africa,36,36
356014 - India vs South Africa,India,South Africa,2009,2009-06-16,,24,Trent Bridge,AB de Villiers,South Africa,10,South Africa,19,55
356014 - India vs South Africa,India,South Africa,2009,2009-06-16,,24,Trent Bridge,AB de Villiers,South Africa,15,South Africa,29,84
356014 - India vs South Africa,India,South Africa,2009,2009-06-16,,24,Trent Bridge,AB de Villiers,South Africa,20,South Africa,10,94
356014 - India vs South Africa,India,South Africa,2009,2009-06-16,,24,Trent Bridge,AB de Villiers,South Africa,5,India,9,9
356014 - India vs South Africa,India,South Africa,2009,2009-06-16,,24,Trent Bridge,AB de Villiers,South Africa,10,India,10,19
356014 - India vs South Africa,India,South Africa,2009,2009-06-16,,24,Trent Bridge,AB de Villiers,South Africa,15,India,25,44
356014 - India vs South Africa,India,South Africa,2009,2009-06-16,,24,Trent Bridge,AB de Villiers,South Africa,20,India,14,58
356015 - Pakistan vs South Africa,Pakistan,South Africa,2009,2009-06-18,,,Trent Bridge,Shahid Afridi,Pakistan,5,Pakistan,23,23
356015 - Pakistan vs South Africa,Pakistan,South Africa,2009,2009-06-18,,,Trent Bridge,Shahid Afridi,Pakistan,10,Pakistan,26,49
356015 - Pakistan vs South Africa,Pakistan,South Africa,2009,2009-06-18,,,Trent Bridge,Shahid Afridi,Pakistan,15,Pakistan,29,78
356015 - Pakistan vs South Africa,Pakistan,South Africa,2009,2009-06-18,,,Trent Bridge,Shahid Afridi,Pakistan,20,Pakistan,27,105
356015 - Pakistan vs South Africa,Pakistan,South Africa,2009,2009-06-18,,,Trent Bridge,Shahid Afridi,Pakistan,5,South Africa,25,25
356015 - Pakistan vs South Africa,Pakistan,South Africa,2009,2009-06-18,,,Trent Bridge,Shahid Afridi,Pakistan,10,South Africa,35,60
356015 - Pakistan vs South Africa,Pakistan,South Africa,2009,2009-06-18,,,Trent Bridge,Shahid Afridi,Pakistan,15,South Africa,21,81
356015 - Pakistan vs South Africa,Pakistan,South Africa,2009,2009-06-18,,,Trent Bridge,Shahid Afridi,Pakistan,20,South Africa,26,107
356016 - Sri Lanka vs West Indies,Sri Lanka,West Indies,2009,2009-06-19,,,Kennington Oval,TM Dilshan,Sri Lanka,5,Sri Lanka,28,28
356016 - Sri Lanka vs West Indies,Sri Lanka,West Indies,2009,2009-06-19,,,Kennington Oval,TM Dilshan,Sri Lanka,10,Sri Lanka,41,69
356016 - Sri Lanka vs West Indies,Sri Lanka,West Indies,2009,2009-06-19,,,Kennington Oval,TM Dilshan,Sri Lanka,15,Sri Lanka,33,102
356016 - Sri Lanka vs West Indies,Sri Lanka,West Indies,2009,2009-06-19,,,Kennington Oval,TM Dilshan,Sri Lanka,20,Sri Lanka,32,134
356016 - Sri Lanka vs West Indies,Sri Lanka,West Indies,2009,2009-06-19,,,Kennington Oval,TM Dilshan,Sri Lanka,5,West Indies,31,31
356016 - Sri Lanka vs West Indies,Sri Lanka,West Indies,2009,2009-06-19,,,Kennington Oval,TM Dilshan,Sri Lanka,10,West Indies,24,55
356016 - Sri Lanka vs West Indies,Sri Lanka,West Indies,2009,2009-06-19,,,Kennington Oval,TM Dilshan,Sri Lanka,15,West Indies,38,93
356016 - Sri Lanka vs West Indies,Sri Lanka,West Indies,2009,2009-06-19,,,Kennington Oval,TM Dilshan,Sri Lanka,20,West Indies,25,118
356017 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-21,,,Lord's,Shahid Afridi,Pakistan,5,Sri Lanka,54,54
356017 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-21,,,Lord's,Shahid Afridi,Pakistan,10,Sri Lanka,34,88
356017 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-21,,,Lord's,Shahid Afridi,Pakistan,15,Sri Lanka,30,118
356017 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-21,,,Lord's,Shahid Afridi,Pakistan,20,Sri Lanka,35,153
356017 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-21,,,Lord's,Shahid Afridi,Pakistan,5,Pakistan,33,33
356017 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-21,,,Lord's,Shahid Afridi,Pakistan,10,Pakistan,54,87
356017 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-21,,,Lord's,Shahid Afridi,Pakistan,15,Pakistan,20,107
356017 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,2009,2009-06-21,,,Lord's,Shahid Afridi,Pakistan,20,Pakistan,38,145
361530 - Ireland vs Kenya,Ireland,Kenya,2008,2008-08-04,,,"""Civil Service Cricket Club",AC Botha,Ireland,5,Kenya,21,21
361530 - Ireland vs Kenya,Ireland,Kenya,2008,2008-08-04,,,"""Civil Service Cricket Club",AC Botha,Ireland,10,Kenya,37,58
361530 - Ireland vs Kenya,Ireland,Kenya,2008,2008-08-04,,,"""Civil Service Cricket Club",AC Botha,Ireland,15,Kenya,27,85
361530 - Ireland vs Kenya,Ireland,Kenya,2008,2008-08-04,,,"""Civil Service Cricket Club",AC Botha,Ireland,20,Kenya,34,119
361530 - Ireland vs Kenya,Ireland,Kenya,2008,2008-08-04,,,"""Civil Service Cricket Club",AC Botha,Ireland,5,Ireland,51,51
361530 - Ireland vs Kenya,Ireland,Kenya,2008,2008-08-04,,,"""Civil Service Cricket Club",AC Botha,Ireland,10,Ireland,53,104
361530 - Ireland vs Kenya,Ireland,Kenya,2008,2008-08-04,,,"""Civil Service Cricket Club",AC Botha,Ireland,15,Ireland,18,122
361530 - Ireland vs Kenya,Ireland,Kenya,2008,2008-08-04,,,"""Civil Service Cricket Club",AC Botha,Ireland,20,Ireland,38,160
361531 - Netherlands vs Scotland,Netherlands,Scotland,2008,2008-08-04,,,"""Civil Service Cricket Club",RN ten Doeschate,Netherlands,5,Scotland,41,41
361531 - Netherlands vs Scotland,Netherlands,Scotland,2008,2008-08-04,,,"""Civil Service Cricket Club",RN ten Doeschate,Netherlands,10,Scotland,37,78
361531 - Netherlands vs Scotland,Netherlands,Scotland,2008,2008-08-04,,,"""Civil Service Cricket Club",RN ten Doeschate,Netherlands,15,Scotland,36,114
361531 - Netherlands vs Scotland,Netherlands,Scotland,2008,2008-08-04,,,"""Civil Service Cricket Club",RN ten Doeschate,Netherlands,20,Scotland,37,151
361531 - Netherlands vs Scotland,Netherlands,Scotland,2008,2008-08-04,,,"""Civil Service Cricket Club",RN ten Doeschate,Netherlands,5,Netherlands,45,45
361531 - Netherlands vs Scotland,Netherlands,Scotland,2008,2008-08-04,,,"""Civil Service Cricket Club",RN ten Doeschate,Netherlands,10,Netherlands,48,93
361531 - Netherlands vs Scotland,Netherlands,Scotland,2008,2008-08-04,,,"""Civil Service Cricket Club",RN ten Doeschate,Netherlands,15,Netherlands,37,130
361531 - Netherlands vs Scotland,Netherlands,Scotland,2008,2008-08-04,,,"""Civil Service Cricket Club",RN ten Doeschate,Netherlands,20,Netherlands,38,168
361656 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-11,T20 Canada,4,Maple Leaf North-West Ground,Shoaib Malik,Pakistan,5,Sri Lanka,32,32
361656 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-11,T20 Canada,4,Maple Leaf North-West Ground,Shoaib Malik,Pakistan,10,Sri Lanka,89,121
361656 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-11,T20 Canada,4,Maple Leaf North-West Ground,Shoaib Malik,Pakistan,15,Sri Lanka,57,178
361656 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-11,T20 Canada,4,Maple Leaf North-West Ground,Shoaib Malik,Pakistan,20,Sri Lanka,46,224
361656 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-11,T20 Canada,4,Maple Leaf North-West Ground,Shoaib Malik,Pakistan,5,Pakistan,39,39
361656 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-11,T20 Canada,4,Maple Leaf North-West Ground,Shoaib Malik,Pakistan,10,Pakistan,38,77
361656 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-11,T20 Canada,4,Maple Leaf North-West Ground,Shoaib Malik,Pakistan,15,Pakistan,43,120
361656 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-11,T20 Canada,4,Maple Leaf North-West Ground,Shoaib Malik,Pakistan,20,Pakistan,28,148
361660 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-13,T20 Canada,,Maple Leaf North-West Ground,ST Jayasuriya,Sri Lanka,5,Pakistan,46,46
361660 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-13,T20 Canada,,Maple Leaf North-West Ground,ST Jayasuriya,Sri Lanka,10,Pakistan,48,94
361660 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-13,T20 Canada,,Maple Leaf North-West Ground,ST Jayasuriya,Sri Lanka,15,Pakistan,35,129
361660 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-13,T20 Canada,,Maple Leaf North-West Ground,ST Jayasuriya,Sri Lanka,20,Pakistan,29,158
361660 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-13,T20 Canada,,Maple Leaf North-West Ground,ST Jayasuriya,Sri Lanka,5,Sri Lanka,50,50
361660 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-13,T20 Canada,,Maple Leaf North-West Ground,ST Jayasuriya,Sri Lanka,10,Sri Lanka,36,86
361660 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-13,T20 Canada,,Maple Leaf North-West Ground,ST Jayasuriya,Sri Lanka,15,Sri Lanka,38,124
361660 - Pakistan vs Sri Lanka,Pakistan,Sri Lanka,08-Sep,2008-10-13,T20 Canada,,Maple Leaf North-West Ground,ST Jayasuriya,Sri Lanka,20,Sri Lanka,50,174
366622 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-27,India in New Zealand T20I Series,2,Westpac Stadium,BB McCullum,New Zealand,5,India,42,42
366622 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-27,India in New Zealand T20I Series,2,Westpac Stadium,BB McCullum,New Zealand,10,India,53,95
366622 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-27,India in New Zealand T20I Series,2,Westpac Stadium,BB McCullum,New Zealand,15,India,26,121
366622 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-27,India in New Zealand T20I Series,2,Westpac Stadium,BB McCullum,New Zealand,20,India,42,163
366622 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-27,India in New Zealand T20I Series,2,Westpac Stadium,BB McCullum,New Zealand,5,New Zealand,50,50
366622 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-27,India in New Zealand T20I Series,2,Westpac Stadium,BB McCullum,New Zealand,10,New Zealand,46,96
366622 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-27,India in New Zealand T20I Series,2,Westpac Stadium,BB McCullum,New Zealand,15,New Zealand,53,149
366622 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-27,India in New Zealand T20I Series,2,Westpac Stadium,BB McCullum,New Zealand,20,New Zealand,16,165
366707 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-26,West Indies in New Zealand T20I Series,1,Eden Park,CH Gayle,,5,New Zealand,59,59
366707 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-26,West Indies in New Zealand T20I Series,1,Eden Park,CH Gayle,,10,New Zealand,45,104
366707 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-26,West Indies in New Zealand T20I Series,1,Eden Park,CH Gayle,,15,New Zealand,42,146
366707 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-26,West Indies in New Zealand T20I Series,1,Eden Park,CH Gayle,,20,New Zealand,62,208
366707 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-26,West Indies in New Zealand T20I Series,1,Eden Park,CH Gayle,,5,West Indies,53,53
366707 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-26,West Indies in New Zealand T20I Series,1,Eden Park,CH Gayle,,10,West Indies,48,101
366707 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-26,West Indies in New Zealand T20I Series,1,Eden Park,CH Gayle,,15,West Indies,59,160
366707 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-26,West Indies in New Zealand T20I Series,1,Eden Park,CH Gayle,,20,West Indies,71,231
366708 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-28,West Indies in New Zealand T20I Series,2,Seddon Park,JD Ryder,New Zealand,5,New Zealand,80,80
366708 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-28,West Indies in New Zealand T20I Series,2,Seddon Park,JD Ryder,New Zealand,10,New Zealand,64,144
366708 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-28,West Indies in New Zealand T20I Series,2,Seddon Park,JD Ryder,New Zealand,15,New Zealand,46,190
366708 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-28,West Indies in New Zealand T20I Series,2,Seddon Park,JD Ryder,New Zealand,20,New Zealand,30,220
366708 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-28,West Indies in New Zealand T20I Series,2,Seddon Park,JD Ryder,New Zealand,5,West Indies,38,38
366708 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-28,West Indies in New Zealand T20I Series,2,Seddon Park,JD Ryder,New Zealand,10,West Indies,48,86
366708 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-28,West Indies in New Zealand T20I Series,2,Seddon Park,JD Ryder,New Zealand,15,West Indies,41,127
366708 - New Zealand vs West Indies,New Zealand,West Indies,08-Sep,2008-12-28,West Indies in New Zealand T20I Series,2,Seddon Park,JD Ryder,New Zealand,20,West Indies,44,171
386494 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-25,India in New Zealand T20I Series,1,AMI Stadium,BB McCullum,New Zealand,5,India,27,27
386494 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-25,India in New Zealand T20I Series,1,AMI Stadium,BB McCullum,New Zealand,10,India,23,50
386494 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-25,India in New Zealand T20I Series,1,AMI Stadium,BB McCullum,New Zealand,15,India,14,64
386494 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-25,India in New Zealand T20I Series,1,AMI Stadium,BB McCullum,New Zealand,20,India,28,92
386494 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-25,India in New Zealand T20I Series,1,AMI Stadium,BB McCullum,New Zealand,5,New Zealand,29,29
386494 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-25,India in New Zealand T20I Series,1,AMI Stadium,BB McCullum,New Zealand,10,New Zealand,40,69
386494 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-25,India in New Zealand T20I Series,1,AMI Stadium,BB McCullum,New Zealand,15,New Zealand,12,81
386494 - New Zealand vs India,New Zealand,India,08-Sep,2009-02-25,India in New Zealand T20I Series,1,AMI Stadium,BB McCullum,New Zealand,20,New Zealand,35,116
386535 - Sri Lanka vs India,Sri Lanka,India,08-Sep,2009-02-10,,,R Premadasa Stadium,YK Pathan,India,5,Sri Lanka,27,27
386535 - Sri Lanka vs India,Sri Lanka,India,08-Sep,2009-02-10,,,R Premadasa Stadium,YK Pathan,India,10,Sri Lanka,24,51
386535 - Sri Lanka vs India,Sri Lanka,India,08-Sep,2009-02-10,,,R Premadasa Stadium,YK Pathan,India,15,Sri Lanka,32,83
386535 - Sri Lanka vs India,Sri Lanka,India,08-Sep,2009-02-10,,,R Premadasa Stadium,YK Pathan,India,20,Sri Lanka,36,119
386535 - Sri Lanka vs India,Sri Lanka,India,08-Sep,2009-02-10,,,R Premadasa Stadium,YK Pathan,India,5,India,41,41
386535 - Sri Lanka vs India,Sri Lanka,India,08-Sep,2009-02-10,,,R Premadasa Stadium,YK Pathan,India,10,India,24,65
386535 - Sri Lanka vs India,Sri Lanka,India,08-Sep,2009-02-10,,,R Premadasa Stadium,YK Pathan,India,15,India,18,83
386535 - Sri Lanka vs India,Sri Lanka,India,08-Sep,2009-02-10,,,R Premadasa Stadium,YK Pathan,India,20,India,48,131
387564 - South Africa vs England,South Africa,England,09-Oct,2009-11-15,England in South Africa T20I Series,2,SuperSport Park,LE Bosman,South Africa,5,South Africa,28,28
387564 - South Africa vs England,South Africa,England,09-Oct,2009-11-15,England in South Africa T20I Series,2,SuperSport Park,LE Bosman,South Africa,10,South Africa,35,63
387564 - South Africa vs England,South Africa,England,09-Oct,2009-11-15,England in South Africa T20I Series,2,SuperSport Park,LE Bosman,South Africa,15,South Africa,45,108
387564 - South Africa vs England,South Africa,England,09-Oct,2009-11-15,England in South Africa T20I Series,2,SuperSport Park,LE Bosman,South Africa,20,South Africa,33,141
387564 - South Africa vs England,South Africa,England,09-Oct,2009-11-15,England in South Africa T20I Series,2,SuperSport Park,LE Bosman,South Africa,5,England,54,54
387564 - South Africa vs England,South Africa,England,09-Oct,2009-11-15,England in South Africa T20I Series,2,SuperSport Park,LE Bosman,South Africa,10,England,31,85
387564 - South Africa vs England,South Africa,England,09-Oct,2009-11-15,England in South Africa T20I Series,2,SuperSport Park,LE Bosman,South Africa,15,England,24,109
387564 - South Africa vs England,South Africa,England,09-Oct,2009-11-15,England in South Africa T20I Series,2,SuperSport Park,LE Bosman,South Africa,20,England,29,138
392615 - Australia vs Pakistan,Australia,Pakistan,2009,2009-05-07,,,Dubai International Cricket Stadium,Umar Gul,Pakistan,5,Australia,46,46
392615 - Australia vs Pakistan,Australia,Pakistan,2009,2009-05-07,,,Dubai International Cricket Stadium,Umar Gul,Pakistan,10,Australia,37,83
392615 - Australia vs Pakistan,Australia,Pakistan,2009,2009-05-07,,,Dubai International Cricket Stadium,Umar Gul,Pakistan,15,Australia,41,124
