match,team1,team2,season,date,series,match_number,venue,player_of_match,winner,over,team,runs,runs_total
1004729 - Ireland vs Hong Kong,Ireland,Hong Kong,2016,2016-09-05,Hong Kong in Ireland T20I Series,1,"""Bready Cricket Club",,Hong Kong,5,Ireland,24,24
1004729 - Ireland vs Hong Kong,Ireland,Hong Kong,2016,2016-09-05,Hong Kong in Ireland T20I Series,1,"""Bready Cricket Club",,Hong Kong,10,Ireland,40,64
1004729 - Ireland vs Hong Kong,Ireland,Hong Kong,2016,2016-09-05,Hong Kong in Ireland T20I Series,1,"""Bready Cricket Club",,Hong Kong,15,Ireland,49,113
1004729 - Ireland vs Hong Kong,Ireland,Hong Kong,2016,2016-09-05,Hong Kong in Ireland T20I Series,1,"""Bready Cricket Club",,Hong Kong,20,Ireland,16,129
1007655 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-18,India in Zimbabwe T20I Series,1,Harare Sports Club,E Chigumbura,Zimbabwe,5,Zimbabwe,33,33
1007655 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-18,India in Zimbabwe T20I Series,1,Harare Sports Club,E Chigumbura,Zimbabwe,10,Zimbabwe,39,72
1007655 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-18,India in Zimbabwe T20I Series,1,Harare Sports Club,E Chigumbura,Zimbabwe,15,Zimbabwe,39,111
1007655 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-18,India in Zimbabwe T20I Series,1,Harare Sports Club,E Chigumbura,Zimbabwe,20,Zimbabwe,59,170
1007655 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-18,India in Zimbabwe T20I Series,1,Harare Sports Club,E Chigumbura,Zimbabwe,5,India,39,39
1007655 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-18,India in Zimbabwe T20I Series,1,Harare Sports Club,E Chigumbura,Zimbabwe,10,India,30,69
1007655 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-18,India in Zimbabwe T20I Series,1,Harare Sports Club,E Chigumbura,Zimbabwe,15,India,49,118
1007655 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-18,India in Zimbabwe T20I Series,1,Harare Sports Club,E Chigumbura,Zimbabwe,20,India,50,168
1007659 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-22,India in Zimbabwe T20I Series,3,Harare Sports Club,KM Jadhav,India,5,India,26,26
1007659 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-22,India in Zimbabwe T20I Series,3,Harare Sports Club,KM Jadhav,India,10,India,34,60
1007659 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-22,India in Zimbabwe T20I Series,3,Harare Sports Club,KM Jadhav,India,15,India,51,111
1007659 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-22,India in Zimbabwe T20I Series,3,Harare Sports Club,KM Jadhav,India,20,India,38,149
1007659 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-22,India in Zimbabwe T20I Series,3,Harare Sports Club,KM Jadhav,India,5,Zimbabwe,21,21
1007659 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-22,India in Zimbabwe T20I Series,3,Harare Sports Club,KM Jadhav,India,10,Zimbabwe,32,53
1007659 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-22,India in Zimbabwe T20I Series,3,Harare Sports Club,KM Jadhav,India,15,Zimbabwe,44,97
1007659 - Zimbabwe vs India,Zimbabwe,India,2016,2016-06-22,India in Zimbabwe T20I Series,3,Harare Sports Club,KM Jadhav,India,20,Zimbabwe,30,127
1019979 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-03,Bangladesh in New Zealand T20I Series,1,McLean Park,KS Williamson,New Zealand,5,Bangladesh,35,35
1019979 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-03,Bangladesh in New Zealand T20I Series,1,McLean Park,KS Williamson,New Zealand,10,Bangladesh,32,67
1019979 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-03,Bangladesh in New Zealand T20I Series,1,McLean Park,KS Williamson,New Zealand,15,Bangladesh,44,111
1019979 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-03,Bangladesh in New Zealand T20I Series,1,McLean Park,KS Williamson,New Zealand,20,Bangladesh,34,145
1019979 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-03,Bangladesh in New Zealand T20I Series,1,McLean Park,KS Williamson,New Zealand,5,New Zealand,27,27
1019979 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-03,Bangladesh in New Zealand T20I Series,1,McLean Park,KS Williamson,New Zealand,10,New Zealand,47,74
1019979 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-03,Bangladesh in New Zealand T20I Series,1,McLean Park,KS Williamson,New Zealand,15,New Zealand,35,109
1019979 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-03,Bangladesh in New Zealand T20I Series,1,McLean Park,KS Williamson,New Zealand,20,New Zealand,42,151
1019981 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-06,Bangladesh in New Zealand T20I Series,2,Bay Oval,C Munro,New Zealand,5,New Zealand,45,45
1019981 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-06,Bangladesh in New Zealand T20I Series,2,Bay Oval,C Munro,New Zealand,10,New Zealand,66,111
1019981 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-06,Bangladesh in New Zealand T20I Series,2,Bay Oval,C Munro,New Zealand,15,New Zealand,42,153
1019981 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-06,Bangladesh in New Zealand T20I Series,2,Bay Oval,C Munro,New Zealand,20,New Zealand,41,194
1019981 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-06,Bangladesh in New Zealand T20I Series,2,Bay Oval,C Munro,New Zealand,5,Bangladesh,52,52
1019981 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-06,Bangladesh in New Zealand T20I Series,2,Bay Oval,C Munro,New Zealand,10,Bangladesh,43,95
1019981 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-06,Bangladesh in New Zealand T20I Series,2,Bay Oval,C Munro,New Zealand,15,Bangladesh,12,107
1019981 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-06,Bangladesh in New Zealand T20I Series,2,Bay Oval,C Munro,New Zealand,20,Bangladesh,36,143
1019983 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-08,Bangladesh in New Zealand T20I Series,3,Bay Oval,CJ Anderson,New Zealand,5,New Zealand,19,19
1019983 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-08,Bangladesh in New Zealand T20I Series,3,Bay Oval,CJ Anderson,New Zealand,10,New Zealand,70,89
1019983 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-08,Bangladesh in New Zealand T20I Series,3,Bay Oval,CJ Anderson,New Zealand,15,New Zealand,69,158
1019983 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-08,Bangladesh in New Zealand T20I Series,3,Bay Oval,CJ Anderson,New Zealand,20,New Zealand,52,210
1019983 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-08,Bangladesh in New Zealand T20I Series,3,Bay Oval,CJ Anderson,New Zealand,5,Bangladesh,37,37
1019983 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-08,Bangladesh in New Zealand T20I Series,3,Bay Oval,CJ Anderson,New Zealand,10,Bangladesh,34,71
1019983 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-08,Bangladesh in New Zealand T20I Series,3,Bay Oval,CJ Anderson,New Zealand,15,Bangladesh,44,115
1019983 - New Zealand vs Bangladesh,New Zealand,Bangladesh,2016/17,2017-01-08,Bangladesh in New Zealand T20I Series,3,Bay Oval,CJ Anderson,New Zealand,20,Bangladesh,42,157
1031433 - England vs South Africa,England,South Africa,2017,2017-06-23,South Africa in England T20I Series,2,County Ground,CH Morris,South Africa,5,South Africa,44,44
1031433 - England vs South Africa,England,South Africa,2017,2017-06-23,South Africa in England T20I Series,2,County Ground,CH Morris,South Africa,10,South Africa,45,89
1031433 - England vs South Africa,England,South Africa,2017,2017-06-23,South Africa in England T20I Series,2,County Ground,CH Morris,South Africa,15,South Africa,47,136
1031433 - England vs South Africa,England,South Africa,2017,2017-06-23,South Africa in England T20I Series,2,County Ground,CH Morris,South Africa,20,South Africa,41,177
1031433 - England vs South Africa,England,South Africa,2017,2017-06-23,South Africa in England T20I Series,2,County Ground,CH Morris,South Africa,5,England,38,38
1031433 - England vs South Africa,England,South Africa,2017,2017-06-23,South Africa in England T20I Series,2,County Ground,CH Morris,South Africa,10,England,39,77
1031433 - England vs South Africa,England,South Africa,2017,2017-06-23,South Africa in England T20I Series,2,County Ground,CH Morris,South Africa,15,England,49,126
1031433 - England vs South Africa,England,South Africa,2017,2017-06-23,South Africa in England T20I Series,2,County Ground,CH Morris,South Africa,20,England,51,177
1031435 - England vs South Africa,England,South Africa,2017,2017-06-25,South Africa in England T20I Series,3,Sophia Gardens,DJ Malan,England,5,England,42,42
1031435 - England vs South Africa,England,South Africa,2017,2017-06-25,South Africa in England T20I Series,3,Sophia Gardens,DJ Malan,England,10,England,26,68
1031435 - England vs South Africa,England,South Africa,2017,2017-06-25,South Africa in England T20I Series,3,Sophia Gardens,DJ Malan,England,15,England,38,106
